teryt;wteryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF;nuts1;status;areaH;areakm;pop;popkm;rankA;rankP
1002;10;kutnowski;7;3821195;102343;10;9;1;337;200.18;c;;88686;887;98018;111;155;84
1003;10;łaski;2;663813;35843;6;5;0;0;186.79;c;;61823;618;50224;81;248;244
1004;10;łęczycki;1;8886789;530952;4;3;0;0;139.04;c;;77275;773;50527;65;188;242
1005;10;łowicki;4;2170032;5899;8;5;0;0;183.04;c;;98817;988;78994;80;131;131
1006;10;łódzkiwschodni;12;5019553;161662;11;7;0;0;285.99;c;;49976;500;71182;142;281;163
1007;10;opoczyński;4;1241428;85262;6;6;0;0;150.1;c;;104019;1040;76984;74;114;142
1008;10;pabianicki;48;42400450;2146963;14;10;0;0;248.36;c;;49218;492;119285;242;283;48
1009;10;pajęczański;1;505328;42324;3;2;0;0;187.32;c;;80382;804;51851;65;179;237
1010;10;piotrkowski;0;0;0;8;9;0;0;162.93;c;;142874;1429;91301;64;43;94
1011;10;poddębicki;0;0;0;8;10;0;0;142.18;c;;88121;881;41380;47;156;280
1012;10;radomszczański;3;2410748;72808;7;6;0;0;184.79;c;;144257;1443;113923;79;42;60
1013;10;rawski;0;0;0;6;6;0;0;184.1;c;;64620;646;48997;76;236;247
1014;10;sieradzki;1;247861;3689;5;7;0;29;165.86;c;;149083;1491;118692;80;36;50
1015;10;skierniewicki;0;0;0;0;0;0;0;154.2;c;;75338;753;38224;51;193;292
1016;10;tomaszowski(mazowieckie);3;932911;74835;11;11;0;231;203.45;c;;102479;1025;117852;115;120;51
1017;10;wieluński;2;1959686;99077;11;8;0;0;167.36;c;;92648;926;77017;83;148;141
1018;10;wieruszowski;0;0;0;3;3;0;0;177.39;c;;57713;577;42255;73;263;275
1019;10;zduńskowolski;0;0;0;6;6;0;74;201.98;c;;36923;369;67049;182;305;171
1020;10;zgierski;10;4468456;190856;18;17;0;0;226.05;c;;85518;855;165606;194;162;12
1061;10;m.Łódź;2;333279;4666;43;46;22;19281;319.93;c;c;29325;293;690422;2354;4;3
1062;10;m.PiotrkówTrybunalski;1;167578;8557;8;7;0;401;258.23;c;c;6724;67;74312;1105;44;49
1063;10;m.Skierniewice;4;1748605;89759;3;1;2;427;304.23;c;c;3460;35;48308;1396;57;62
1201;12;bocheński;0;0;0;10;11;0;0;192.07;s;;64856;649;106096;164;235;76
1202;12;brzeski(małopolskie);0;0;0;5;7;0;0;155.98;s;;59052;591;93164;158;257;91
1203;12;chrzanowski;3;2339502;-78012;4;5;0;0;253.29;s;;37012;370;125725;340;304;41
1204;12;dąbrowski;1;262942;1563;0;1;0;0;111.4;s;;53025;530;59311;112;274;202
1205;12;gorlicki;1;192356;41352;11;13;0;0;129.57;s;;96646;966;109076;113;137;68
1206;12;krakowski;104;81991911;2611091;15;18;0;0;282.42;s;;123052;1231;274843;223;76;2
1207;12;limanowski;0;0;0;9;11;0;12;133.05;s;;95123;951;130964;138;143;37
1208;12;miechowski;0;0;0;2;4;0;68;134.64;s;;67629;676;49315;73;226;246
1209;12;myślenicki;3;4387951;71438;5;14;0;0;174.96;s;;67308;673;126339;188;231;40
1210;12;nowosądecki;0;0;0;37;49;0;0;137.85;s;;154980;1549;214999;139;31;4
1211;12;nowotarski;2;658246;23310;36;49;1;725;120.57;s;;147499;1474;191266;130;38;8
1212;12;olkuski;5;3185959;327431;5;5;0;90;255.64;s;;61811;618;112539;182;249;62
1213;12;oświęcimski;4;5317757;-28705;7;9;1;341;261.52;s;;40558;406;154292;380;300;21
1214;12;proszowicki;0;0;0;4;4;0;0;123.92;s;;41487;415;43658;105;298;273
1215;12;suski;1;997811;44959;7;7;1;152;157.21;s;;68571;686;84317;123;223;117
1216;12;tarnowski;0;0;0;5;8;0;0;134.32;s;;141158;1412;201268;143;46;7
1217;12;tatrzański;0;0;0;67;85;0;14;164.28;s;;47165;472;68034;144;287;170
1218;12;wadowicki;1;209217;18388;9;12;0;0;197.03;s;;64588;646;159938;248;237;18
1219;12;wielicki;0;0;0;19;21;0;0;257.95;s;;41078;411;125197;305;299;43
1261;12;m.Kraków;0;0;0;158;183;21;49142;NA;s;c;32685;327;767348;2348;2;2
1262;12;m.NowySącz;9;3430244;68504;5;9;3;1465;252.57;s;c;5758;58;84041;1460;49;44
1263;12;m.Tarnów;4;10508059;509544;8;8;3;1672;242.39;s;c;7238;72;109650;1515;41;35
