teryt;powiat;hotele2012;hotele2017
3008;kępiński;3;4
3009;kolski;5;6
3010;koniński;14;15
3011;kościański;6;5
3012;krotoszyński;6;6
3013;leszczyński;13;13
3014;międzychodzki;4;4
3015;nowotomyski;9;10
3016;obornicki;3;3
3017;ostrowski;12;13
3018;ostrzeszowski;4;3
3019;pilski;14;11
3020;pleszewski;3;6
3021;poznański;48;50
3022;rawicki;4;3
3023;słupecki;2;3
3024;szamotulski;6;6
3025;średzki;6;7
3026;śremski;6;5
3027;turecki;5;4
3028;wągrowiecki;3;2
3029;wolsztyński;10;9
3030;wrzesiński;7;8
3031;złotowski;3;4
3061;m.Kalisz;8;9
3062;m.Konin;2;2
3063;m.Leszno;6;5
3064;m.Poznań;60;73
3201;białogardzki;2;2
3202;choszczeński;4;3
3203;drawski;4;6
3204;goleniowski;5;10
3205;gryficki;14;13
3206;gryfiński;8;7
3207;kamieński;17;19
3208;kołobrzeski;26;29
3209;koszaliński;12;15
3210;myśliborski;7;7
3211;policki;7;6
3212;pyrzycki;0;2
3213;sławieński;6;8
3214;stargardzki;8;11
3215;szczecinecki;5;6
3216;świdwiński;2;1
3217;wałecki;6;7
3218;łobeski;1;3
3261;m.Koszalin;9;10
3262;m.Szczecin;30;32
3263;m.Świnoujście;25;28
