no;name;movies
292;Olin Howland;2
293;Jack Baston;2
294;Scott Marlowe;2
295;Kenneth Brown;2
296;Thomas Holding;2
297;Frank McGlynn Jr.;2
298;Dianne Foster;2
299;Kewpie King;2
300;Ron Perlman;2
301;Barbara Fritchie;2
302;Lillian Savin;2
303;Lynne Seus;2
304;Daisy Romualdez;2
305;Joseph Flores;2
306;A Martinez;2
307;Lloyd Corrigan;2
308;Jack Hopkins;2
309;Howard Truesdale;2
310;Viveca Lindfors;2
311;Luke Kirby;2
312;Aurora Clavel;2
313;Valentín Trujillo;2
314;Robert MacFarland;2
315;Sally Long;2
316;Arthur Brauss;2
317;Juan Gallardo;2
318;Liberty Ilagan;2
319;Barbara Tennant;2
320;Mario Van Peebles;2
321;Tony Di Mitri;2
322;Harriet Hammond;2
323;Peter Carsten;2
324;Donna Reed;2
325;Charlotte Wynters;2
326;Roberto G. Rivera;2
327;Anne Shirley;2
328;Rosalind Keith;2
329;Jeanne Carpenter;2
330;Ann Forrest;2
331;Jerry Pons;2
332;Phyllis Kirk;2
333;Chalet Lizette Brannan;2
334;Edward G. Robinson;2
335;Hal Walters;2
336;Barbara Luddy;2
337;Kenneth MacDonald;2
338;Antonio Cantafora;2
339;A. Edward Sutherland;2
340;Teresa Wright;2
341;Crane Wilbur;2
342;Fred Holmes;2
343;Ramón Gay;2
344;Chief Yowlachie;2
345;Keith Richards;2
346;Polly Moran;2
347;Vince Edwards;2
348;Don Terry;2
349;Rin Tin Tin Jr.;2
350;Silvia Manríquez;2
351;William Cavanaugh;2
352;Yolanda Ciani;2
353;Eric Johnson;2
354;Humphrey Bogart;2
355;Charlotte Merriam;2
356;Evelyn Francisco;2
357;Willeke van Ammelrooy;2
358;William Leslie;2
359;Luigi Vannucchi;2
360;Priscilla Bonner;2
361;Pat Hartigan;2
362;Fred Montague;2
363;Chick Morrison;2
364;Mary McIvor;2
365;Jack Oakie;2
366;Robert Miano;2
367;Joe Bonner;2
368;Ida Lupino;2
369;Ernest Van Pelt;2
370;Rex De Rosselli;2
371;J. Warren Kerrigan;2
372;Carlos Padilla Jr.;2
373;Jack Taylor;2
374;Ralph Byrd;2
375;Raw Leiba;2
376;Britt Wood;2
377;Valeria Fabrizi;2
378;Ernest Shields;2
379;Gerald Milton;2
380;Michael Dietrich;2
381;Feng Ku;2
382;Teodoro Corrà;2
383;Will Jeffries;2
384;Yvette Duguay;2
385;Bernadene Hayes;2
386;Lee Willard;2
387;James Mason;2
388;Vaughn Taylor;2
389;Daniel 'Chino' Herrera;2
390;Frankie Mann;2
391;Harry Griffith;2
392;Stephen Boyd;2
393;Rita Pickering;2
394;Billy Bletcher;2
395;Miguel Ángel Rodríguez;2
396;Sydney Penny;2
397;Joe De Castro;2
398;Robert Keith;2
399;Barbara Rush;2
400;Bobbie Phillips;2
401;Jacqueline Gadsdon;2
402;Fred Kohler Jr.;2
403;Morgan Brown;2
404;Geoffrey Lewis;2
405;Mabel Julienne Scott;2
406;Lilia Prado;2
407;Liv Ullmann;2
408;Felicia Farr;2
409;Leslie Nielsen;2
410;Thunder the Dog;2
411;Alice Braga;2
