"COU","Country","MAREG","Macroregion","MEAS","Measure","VARIABLE","Land cover class","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","1992","1992","KM2","Square kilometres","3","Thousands",,,47.553,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","2004","2004","KM2","Square kilometres","3","Thousands",,,46.07378,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","FOREST","Tree cover","2015","2015","KM2","Square kilometres","3","Thousands",,,45.36223,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","1992","1992","KM2","Square kilometres","3","Thousands",,,11.39831,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","2004","2004","KM2","Square kilometres","3","Thousands",,,12.3278,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","GRSL","Grassland","2015","2015","KM2","Square kilometres","3","Thousands",,,12.81693,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SHRUBL","Shrubland","1992","1992","KM2","Square kilometres","3","Thousands",,,0,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SHRUBL","Shrubland","2004","2004","KM2","Square kilometres","3","Thousands",,,0,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SHRUBL","Shrubland","2015","2015","KM2","Square kilometres","3","Thousands",,,0,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","1992","1992","KM2","Square kilometres","3","Thousands",,,1.12495,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","2004","2004","KM2","Square kilometres","3","Thousands",,,1.17549,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","2015","2015","KM2","Square kilometres","3","Thousands",,,1.18121,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","URBAN","Artificial surfaces","1992","1992","KM2","Square kilometres","3","Thousands",,,1.06691,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","URBAN","Artificial surfaces","2004","2004","KM2","Square kilometres","3","Thousands",,,2.27447,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","URBAN","Artificial surfaces","2015","2015","KM2","Square kilometres","3","Thousands",,,2.34974,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","1992","1992","KM2","Square kilometres","3","Thousands",,,0.68991,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2004","2004","KM2","Square kilometres","3","Thousands",,,0.71109,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2015","2015","KM2","Square kilometres","3","Thousands",,,0.71325,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WETL","Wetland","1992","1992","KM2","Square kilometres","3","Thousands",,,0.13092,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WETL","Wetland","2004","2004","KM2","Square kilometres","3","Thousands",,,0.13216,,
"AUT","Austria","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WETL","Wetland","2015","2015","KM2","Square kilometres","3","Thousands",,,0.1276,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","BARE","Bare area","1992","1992","PC","Percentage","0","Units",,,2.78145,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","BARE","Bare area","2004","2004","PC","Percentage","0","Units",,,2.84305,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","BARE","Bare area","2015","2015","PC","Percentage","0","Units",,,2.84534,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","CROPL","Cropland","1992","1992","PC","Percentage","0","Units",,,23.72518,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","CROPL","Cropland","2004","2004","PC","Percentage","0","Units",,,22.79681,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","CROPL","Cropland","2015","2015","PC","Percentage","0","Units",,,22.96511,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","FOREST","Tree cover","1992","1992","PC","Percentage","0","Units",,,56.40098,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","FOREST","Tree cover","2004","2004","PC","Percentage","0","Units",,,54.64653,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","FOREST","Tree cover","2015","2015","PC","Percentage","0","Units",,,53.80259,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","GRSL","Grassland","1992","1992","PC","Percentage","0","Units",,,13.51914,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","GRSL","Grassland","2004","2004","PC","Percentage","0","Units",,,14.62158,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","GRSL","Grassland","2015","2015","PC","Percentage","0","Units",,,15.20172,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","SHRUBL","Shrubland","1992","1992","PC","Percentage","0","Units",,,0,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","SHRUBL","Shrubland","2004","2004","PC","Percentage","0","Units",,,0,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","SHRUBL","Shrubland","2015","2015","PC","Percentage","0","Units",,,0,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","SPARSE_VEGETATION","Sparse vegetation","1992","1992","PC","Percentage","0","Units",,,1.33426,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","SPARSE_VEGETATION","Sparse vegetation","2004","2004","PC","Percentage","0","Units",,,1.39421,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","SPARSE_VEGETATION","Sparse vegetation","2015","2015","PC","Percentage","0","Units",,,1.40099,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","URBAN","Artificial surfaces","1992","1992","PC","Percentage","0","Units",,,1.26542,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","URBAN","Artificial surfaces","2004","2004","PC","Percentage","0","Units",,,2.69767,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","URBAN","Artificial surfaces","2015","2015","PC","Percentage","0","Units",,,2.78695,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","WATER","Inland water","1992","1992","PC","Percentage","0","Units",,,0.81828,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","WATER","Inland water","2004","2004","PC","Percentage","0","Units",,,0.8434,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","WATER","Inland water","2015","2015","PC","Percentage","0","Units",,,0.84597,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","WETL","Wetland","1992","1992","PC","Percentage","0","Units",,,0.15528,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","WETL","Wetland","2004","2004","PC","Percentage","0","Units",,,0.15675,,
"AUT","Austria","TOTAL","-Total-","PCNT","Percent of total country area","WETL","Wetland","2015","2015","PC","Percentage","0","Units",,,0.15134,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","1992","1992","KM2","Square kilometres","3","Thousands",,,0.0051,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","2004","2004","KM2","Square kilometres","3","Thousands",,,0.00502,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","2015","2015","KM2","Square kilometres","3","Thousands",,,0.0068,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","CROPL","Cropland","1992","1992","KM2","Square kilometres","3","Thousands",,,17.25551,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","CROPL","Cropland","2004","2004","KM2","Square kilometres","3","Thousands",,,15.69368,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","CROPL","Cropland","2015","2015","KM2","Square kilometres","3","Thousands",,,15.66214,,
