teryt;nazwa;przychod
3003;gnieźnieński,201.37
3004;gostyński,236.41
3005;grodziski,194.51
3006;jarociński,187.22
3007;kaliski,163.4
3008;kępiński,277.75
3009;kolski,168.08
3010;koniński,159.29
3011;kościański,205.32
3012;krotoszyński,192.61
3013;leszczyński,176.03
3014;międzychodzki,184.54
3015;nowotomyski,223.41
3016;obornicki,192.75
3017;ostrowski,212.42
3018;ostrzeszowski,189.13
3019;pilski,214.45
3020;pleszewski,162.22
3021;poznański,371.95
3022;rawicki,194.54
3023;słupecki,167.07
3024;szamotulski,230.94
3025;średzki,221.7
3026;śremski,211.69
3027;turecki,184.28
3028;wągrowiecki,167.8
3029;wolsztyński,211.11
3030;wrzesiński,226.46
3031;złotowski,153.32
3061;Kalisz,315.69
3062;Konin,266.01
3063;Leszno,307.29
3064;Poznań,434.03
3201;białogardzki,156.75
3202;choszczeński,147.22
3203;drawski,165.08
3204;goleniowski,207.51
3205;gryficki,162.84
3206;gryfiński,167.29
3207;kamieński,177.72
3208;kołobrzeski,229.01
3209;koszaliński,190.11
3210;myśliborski,170.5
3211;policki,350.98
3212;pyrzycki,131.02
3213;sławieński,161.75
3214;stargardzki,194.62
3215;szczecinecki,177.7
3216;świdwiński,167.39
3217;wałecki,168.7
3218;łobeski,139.62
3261;Koszalin,281.61
3262;Szczecin,289.65
3263;Świnoujście,252.88
