Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;excoords;q;xcoord;ycoord
780;1065;Firma Frankiewicz sp. z o.o., Grodzisk Wlkp.;4621;471128;909;Grodzisk Wlkp., PL;52.22632 16.362811;Wlkp.,;52.229339;16.363766
781;834;HP INC Polska sp. z o.o., Warszawa;4651;470878;1906;Warszawa, PL;52.231924 21.006727;PL,PL;52.194295;20.997727
782;661;Astellas Pharma sp. z o.o., Warszawa;4618;469925;8938;Warszawa, PL;52.231924 21.006727;PL,PL;52.180666;20.999183
783;762;Mckeen Beef sp. z o.o., Listków;1013;468782;b.d.;Listków, PL;51.043956 21.293413;PL,PL;51.043869;21.294172
784;710;Zenith Poland sp. z o.o., Warszawa;7312;467406;8639;Warszawa, PL;52.231924 21.006727;PL,PL;52.202641;20.965112
785;809;Kajima Poland sp. z o.o., Warszawa;4110;467108;30574;Warszawa, PL;52.231924 21.006727;PL,PL;52.217407;20.987251
786;812;Salzgitter Mannesmann Stahlhandel, Słupca;4672;466530;4349;Słupca, PL;52.287292 17.871361;PL,PL;52.288076;17.875044
787;800;Wirtualna Polska SA GK, Gdańsk;6110;465613;40032;Gdańsk, PL;54.347628 18.645203;PL,PL;54.342029;18.653586
788;942;ZUE SA GK, Kraków;4212;465316;233;Kraków, PL;50.064529 19.983206;PL,PL;50.039399;19.986645
789;741;MPWiK SA, Kraków;3600;464199;51534;Kraków, PL;50.064529 19.983206;PL,PL;50.044359;19.972333
790;766;Bakalland SA, Warszawa;1039;464085;-8714;Warszawa, PL;52.231924 21.006727;PL,PL;52.180634;21.033236
791;579;NTT System SA GK, Warszawa;4651;463829;1613;Warszawa, PL;52.231924 21.006727;PL,PL;52.182045;21.019349
792;588;CD Projekt SA GK, Warszawa;6201;463184;200270;Warszawa, PL;52.231924 21.006727;PL,PL;52.260858;20.959896
793;837;Ordipol sp. z o.o., Bielany Wrocławskie;4771;462775;9664;Bielany Wrocławskie, PL;51.03656 16.969463;Wrocławskie,;51.037166;16.970096
794;781;Adampol SA, Zaścianki;4941;462095;5939;Zaścianki, PL;53.126306 23.238641;PL,PL;53.128872;23.238576
795;787;AB Bechcicki sp. z o.o., Wrocław;4673;462014;1512;Wrocław, PL;51.108978 17.032669;PL,PL;51.125414;17.030458
796;1846;Fuste Polska sp. z o.o., Warszawa;4339;460031;29740;Warszawa, PL;52.231924 21.006727;PL,PL;52.282217;20.994107
797;785;Madej Wróbel sp. z o.o., Ruda Śląska;1013;458558;-3595;Ruda Śląska, PL;50.273242 18.859407;Śląska,;50.270740;18.866292
798;1020;WATIS sp. z o.o., Strzałkowo;4730;457898;9853;Strzałkowo, PL;53.794206 20.049028;PL,PL;53.793876;20.048799
799;805;Link sp. z o.o., Wiązowna;4941;457811;10314;Wiązowna, PL;52.171197 21.303963;PL,PL;52.168467;21.306901
800;825;BBK SA, Kowale;4751;456843;46800;Kowale, PL;53.533914 23.634262;PL,PL;53.535689;23.633898
801;714;CEUP eService SA, Warszawa;6619;455960;93386;Warszawa, PL;52.231924 21.006727;PL,PL;52.214247;20.982688
