Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;coord;NEIGHBORHOOD;teryt;nazwa
444;595;Hochtief Polska SA, Warszawa;4120;867161;10009;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
446;675;Atal SA GK, Cieszyn;4110;865795;179727;Cieszyn, PL;49.748862 18.633431;PL,PL;2403;cieszyński
448;432;Nutricia Polska sp. z o.o., Warszawa;4639;863859;169822;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
449;412;Reckitt Benckiser Poland SA, Nowy Dwór Maz.;4675;862922;205913;Nowy Dwór Maz., PL;52.430651 20.715471;Dwór;1420;płoński
450;444;Mirbud SA GK, Skierniewice;4110;859856;25103;Skierniewice, PL;51.956858 20.143004;PL,PL;1063;m.Skierniewice
451;455;Sanden Manufacturing Poland sp. z o.o., Polkowice;2813;853329;409;Polkowice, PL;51.503929 16.071337;PL,PL;0211;lubiński
452;454;Lacroix Electronics sp. z o.o., Kwidzyn;2611;852819;55638;Kwidzyn, PL;53.733584 18.931922;PL,PL;2207;kwidzyński
453;496;Philips Polska sp. z o.o., Warszawa;4643;850159;7399;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
454;403;BWI Poland Technologies sp. z o.o., Kraków;2932;849672;34008;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
455;495;Rohlig Suus Logistics SA, Warszawa;5229;848591;6177;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
456;404;Veolia Energia Łódź SA, Łódź;3530;845401;154210;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
457;505;Gemalto sp. z o.o., Tczew;2612;845303;6157;Tczew, PL;54.086953 18.800029;PL,PL;2214;tczewski
458;447;Starcom sp. z o.o., Warszawa;7312;839222;14651;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
459;509;Danwood SA, Bielsk Podlaski;4120;836826;41742;Bielsk Podlaski, PL;52.768756 23.192562;Podlaski,;2003;bielski(podlaskie)
460;434;Gates Polska sp. z o.o., Legnica;2219;833265;103316;Legnica, PL;51.208209 16.160228;PL,PL;0209;legnicki
461;416;Van Pur SA, Warszawa;1105;833168;35462;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
462;488;Barter SA, Białystok;4671;832018;17902;Białystok, PL;53.132398 23.159168;PL,PL;2002;białostocki
463;610;Toyota Boshoku Poland sp. z o.o., Wykroty;2932;830223;64346;Wykroty, PL;51.495587 15.153205;PL,PL;0810;żagański
464;426;Total Polska sp. z o.o., Warszawa;4671;827263;22291;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
465;436;Mota-Engil Central Europe SA, Kraków;4211;826731;3806;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
466;541;Mirosław Wróbel sp. z o.o., Wrocław;4511;826540;9101;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
467;445;DS Smith Polska sp. z o.o., Warszawa;1721;823089;26061;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
468;462;Drutex SA, Bytów;2223;816206;86392;Bytów, PL;54.168855 17.492295;PL,PL;2201;bytowski
469;487;Grupa DSV w Polsce, Ołtarzew;4941;814993;b.d.;Ołtarzew, PL;52.211775 20.7642;PL,PL;1432;warszawski zachodni
470;457;Euro-Comfort sp. z o.o., Leszno;1392;812014;24119;Leszno, PL;51.84365 16.574414;PL,PL;3063;m.Leszno
471;458;Cronimet PL sp. z o.o., Inowrocław;4677;805414;20316;Inowrocław, PL;52.795241 18.259562;PL,PL;0407;inowrocławski
472;407;Suempol sp. z o.o., Bielsk Podlaski;1020;798080;72901;Bielsk Podlaski, PL;52.768756 23.192562;Podlaski,;2003;bielski(podlaskie)
473;491;Barlinek SA, Kielce;4690;797315;206767;Kielce, PL;50.871788 20.630835;PL,PL;2604;kielecki
474;468;Inter-Team sp. z o.o., Warszawa;4531;797177;10285;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
475;493;Tameh Polska sp. z o.o., Dąbrowa Górnicza;3511;796644;113321;Dąbrowa Górnicza, PL;50.330981 19.196328;Górnicza,;2401;będziński
476;503;PPG Polifarb SA, Cieszyn;2030;795626;68893;Cieszyn, PL;49.748862 18.633431;PL,PL;2403;cieszyński
477;616;Newag SA GK, Nowy Sącz;3020;789865;29663;Nowy Sącz, PL;49.624917 20.691346;Sącz,;1262;m.Nowy Sącz
478;442;Nordzucker Polska SA, Opalenica;1081;786932;102073;Opalenica, PL;52.306927 16.420936;PL,PL;3015;nowotomyski
479;626;Tenneco Silesia sp. z o.o., Stanowice;2932;785308;6044;Stanowice, PL;51.568404 16.599152;PL,PL;0204;górowski
481;417;Super-Pharm Poland sp. z o.o., Warszawa;4773;783433;1602;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
482;515;Storteboom Hamrol sp. z o.o., Kotowo;1012;775907;42300;Kotowo, PL;54.337607 17.348592;PL,PL;2201;bytowski
483;497;Lagardere Travel Retail sp. z o.o., Warszawa;4711;774567;570;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
484;437;Karo-Biuro Handlu Zagranicznego sp. z o.o., Toruń;4677;772877;8193;Toruń, PL;53.021067 18.618612;PL,PL;0415;toruński
486;584;Zakłady Mięsne Skiba, Chojnice;1011;764229;26137;Chojnice, PL;53.697766 17.565797;PL,PL;2202;chojnicki
487;449;Kosmepol sp. z o.o., Kanie;2042;763826;10490;Kanie, PL;49.736841 19.882701;PL,PL;1209;myślenicki
488;516;Węglokoks Kraj sp. z o. o., Piekary Śląskie;510;762806;60458;Piekary Śląskie, PL;50.384031 18.945643;Śląskie,;2462;m.Bytom
489;481;Handlopex SA, Warszawa;4531;762771;3024;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
490;557;Goldbeck sp. z o.o., Komorniki;4120;759237;58187;Komorniki, PL;51.717222 19.492778;PL,PL;1006;łódzki wschodni
491;513;Pekaes sp. z o.o., Błonie;5229;758232;6676;Błonie, PL;52.196879 20.617383;PL,PL;1405;grodziski(mazowieckie)
492;802;PUT Intercor sp. z o.o., Zawiercie;4213;755113;20143;Zawiercie, PL;50.484438 19.433394;PL,PL;2416;zawierciański
493;471;Przedsiębiorstwo Handlowe A-T SA, Krotoszyn;4643;754225;3410;Krotoszyn, PL;51.695926 17.437416;PL,PL;3012;krotoszyński
494;519;Husqvarna Poland sp. z o.o., Warszawa;2830;752215;32933;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
495;446;Torpol SA GK, Poznań;4212;752161;-26784;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
497;460;Cereal Partners Poland Toruń-Pacific sp. z o.o.;1061;751174;55970;Toruń, PL;53.021067 18.618612;PL,PL;0415;toruński
498;498;Ergis SA GK, Warszawa;2222;749558;20858;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
499;484;Nicromet sp. z o.o. sp.k., Bestwinka;2442;749529;17917;Bestwinka, PL;49.929128 19.066384;PL,PL;2402;bielski(śląskie)
500;441;Primetech SA GK, Katowice;4663;749416;66132;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
501;448;CeDo sp. z o.o., Kąty Wrocławskie;2222;746606;27118;Kąty Wrocławskie, PL;51.031343 16.763301;Wrocławskie,;0218;średzki(śląskie)
502;478;Magna Formpol sp. z o.o., Tychy;2550;745480;93087;Tychy, PL;50.124731 18.986993;PL,PL;2477;m.Tychy
503;543;British Automotive Polska SA, Warszawa;4511;743596;17254;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
504;572;Tenneco Automotive Eastern Europe sp. z o.o., Gliwice;2932;743095;10043;Gliwice, PL;50.294113 18.665731;PL,PL;2405;gliwicki
505;479;Smurfit Kappa Polska sp. z o.o., Warszawa;1721;741413;-4390;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
506;480;Plastica sp. z o.o., Kowalewo Pomorskie;2229;738734;108903;Kowalewo Pomorskie, PL;53.154314 18.897547;Pomorskie,;0405;golubsko-dobrzyński
507;663;Robyg SA GK, Warszawa;4120;737944;135493;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
508;549;Cobex Polska sp. z o.o., Racibórz;2399;737466;93637;Racibórz, PL;50.091734 18.219677;PL,PL;2411;raciborski
509;548;Galicja Tomaszek sp. z o.o., Łańcut;4643;737380;11550;Łańcut, PL;50.069073 22.232092;PL,PL;1810;łańcucki
510;522;British Automotive Holding SA GK, Warszawa;4110;737156;48059;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
511;472;Oracle Polska sp. z o.o., Warszawa;5829;736000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
512;574;PW Pieprzyk sp. z o.o., Rawicz;4671;735390;2294;Rawicz, PL;51.610799 16.865543;PL,PL;3022;rawicki
513;524;Medicover sp. z o.o., Warszawa;8621;734656;34481;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
514;708;Medtronic Poland sp. z o.o., Warszawa;4646;731415;22007;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
515;502;Lotte Wedel sp. z o.o., Warszawa;1082;730998;48231;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
516;415;Bunge Polska sp. z o.o., Kruszwica;1042;730558;-20859;Kruszwica, PL;52.67438 18.325477;PL,PL;0407;inowrocławski
517;527;PwC sp. z o.o. GK, Warszawa;6920;729986;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
518;517;Vibracoustic Polska sp. z o.o., Komorniki;2599;728794;44313;Komorniki, PL;51.717222 19.492778;PL,PL;1006;łódzki wschodni
519;531;Hurtownia Motoryzacyjna Gordon SA, Szubin;4531;728018;b.d.;Szubin, PL;53.01175 17.74394;PL,PL;0410;nakielski
520;540;Balex Metal sp. z o.o., Bolszewo;2599;726399;41194;Bolszewo, PL;54.61685 18.17654;PL,PL;2215;wejherowski
521;529;Procam Polska sp. z o.o., Gdańsk;4675;726223;19650;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
522;486;Aesculap Chifa sp. z o.o., Nowy Tomyśl;3250;725848;34009;Nowy Tomyśl, PL;52.317764 16.129155;Tomyśl,;3015;nowotomyski
523;532;Tarczyński SA, Trzebnica;1013;724781;23591;Trzebnica, PL;51.309642 17.062596;PL,PL;0220;trzebnicki
524;397;Mediacom Warszawa sp. z o.o., Warszawa;7312;723092;-3653;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
525;489;3M Poland sp. z o.o., Kajetany;4690;722752;13829;Kajetany, PL;52.089982 20.82051;PL,PL;1421;pruszkowski
526;756;Wagony Świdnica sp. z o.o. GK, Świdnica;3020;722331;154832;Świdnica, PL;50.842484 16.487055;PL,PL;0219;świdnicki(śląskie)
527;512;The Lorenz Bahlsen Snack-World sp. z o.o., Sady;4638;722201;7189;Sady, PL;52.439255 22.704259;PL,PL;2010;siemiatycki
528;511;Deloitte Advisory sp. z o.o. GK, Warszawa;6920;722015;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
529;561;USP Zdrowie sp. z o.o., Warszawa;4638;721137;48997;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
530;506;iSource SA, Warszawa;4651;720642;9523;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
531;507;TIM SA GK, Wrocław;4634;719172;-3838;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
532;612;Morele.net sp. z o.o., Kraków;4741;718610;283;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
533;464;PWPW SA, Warszawa;1812;718590;167642;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
534;600;Carservis SA GK, Warszawa;7415;717459;3378;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
535;523;PHU Topaz, Sokołów Podlaski;4711;716570;19728;Sokołów Podlaski, PL;52.40818 22.252493;Podlaski,;1429;sokołowski
536;499;Vectra SA, Gdynia;6020;715706;858777;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
537;405;Navo Orbico sp. z o.o., Tychy;4675;714535;13758;Tychy, PL;50.124731 18.986993;PL,PL;2477;m.Tychy
538;562;Stepan Polska sp. z o.o., Brzeg Dolny;2016;712919;29955;Brzeg Dolny, PL;51.267123 16.722741;Dolny,;0222;wołowski
539;761;Wilk Elektronik SA, Łaziska Górne;2620;712218;23977;Łaziska Górne, PL;50.150089 18.839066;Górne,;2408;mikołowski
540;485;Rawlplug SA GK, Wrocław;2223;708556;33326;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
541;631;Oponeo.pl SA, Bydgoszcz;4531;708466;17525;Bydgoszcz, PL;53.121965 18.000253;PL,PL;0461;m.Bydgoszcz
543;546;Multiserwis sp. z o.o., Krapkowice;4329;708217;35538;Krapkowice, PL;50.474741 17.967526;PL,PL;1605;krapkowicki
544;640;Duda Cars SA, Poznań;4511;708132;18678;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
545;629;LC Corp SA GK, Wrocław;7010;706187;80240;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
546;492;Lisner sp. z o.o., Poznań;1020;705893;41332;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
547;530;Grupa Ożarów SA, Warszawa;2351;705641;121369;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
548;534;Philip Morris Polska SA, Warszawa;1200;705636;122664;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
549;521;Faurecia Legnica SA, Legnica;2932;704683;5616;Legnica, PL;51.208209 16.160228;PL,PL;0209;legnicki
550;348;Johnson & Johnson Poland sp. z o.o., Warszawa;4646;704411;52848;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
551;477;Aflofarm Farmacja Polska sp. z.o.o., Pabianice;2120;703417;129185;Pabianice, PL;51.661203 19.357662;PL,PL;1008;pabianicki
552;528;Gefco Polska sp. z o.o., Warszawa;4941;702204;12375;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
553;514;Eaton Automotive Systems sp. z o.o., Bielsko-Biała;2932;701484;180842;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
554;438;Żywiec Zdrój SA, Węgierska Górka;1107;699808;89266;Węgierska Górka, PL;49.608821 19.119586;Górka,;2417;żywiecki
555;473;Energoinstal SA GK, Katowice;2530;699230;-48046;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
556;558;SIG sp. z o.o., Kraków;4673;697386;2913;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
557;589;Kuehne + Nagel sp. z o.o., Gądki;5210;694327;b.d.;Gądki, PL;52.3126 17.046621;PL,PL;3064;m.Poznań
558;459;Lumileds Poland SA, Pabianice;2740;693468;35708;Pabianice, PL;51.661203 19.357662;PL,PL;1008;pabianicki
559;656;Centrozłom Wrocław SA, Wrocław;3832;692700;26169;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
560;711;Profi Credit Polska SA, Bielsko-Biała;6491;692530;82850;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
561;538;Tramwaje Warszawskie sp. z o.o., Warszawa;4931;692226;44723;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
562;466;Merkury Market sp. z o.o. sp.k., Krosno;4719;690024;20651;Krosno, PL;49.693807 21.765151;PL,PL;1861;m.Krosno
563;439;Syngenta Polska sp. z o.o., Warszawa;4675;689635;7148;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
564;576;Vistula Group SA GK, Kraków;4771;688513;43208;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
565;611;Benefit Systems SA, Warszawa;9311;681554;100159;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
566;738;Netmedia SA GK, Warszawa;7311;681016;6670;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
568;573;EFL SA GK, Wrocław;7110;677856;99433;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
569;767;Orzeł Biały SA GK, Piekary Śląskie;3832;677061;15925;Piekary Śląskie, PL;50.384031 18.945643;Śląskie,;2462;m.Bytom
571;596;Marketing Investment Group sp. z o.o., Kraków;4772;676543;27417;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
572;550;NSK Bearings Polska SA, Kielce;2815;676336;10909;Kielce, PL;50.871788 20.630835;PL,PL;2604;kielecki
573;539;MPK Łódź sp. z o.o., Łódź;4931;675759;-3217;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
574;830;Koksownia Częstochowa Nowa sp. z o.o., Warszawa;1910;673649;23841;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
575;554;Veracomp SA, Kraków;4666;670444;17525;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
576;966;Ericsson sp. z o.o., Warszawa;2630;670127;11210;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
577;583;Accenture sp. z o.o., Warszawa;6209;666130;39819;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
578;585;Steico sp. z o.o., Czarnków;1621;664786;25287;Czarnków, PL;52.905034 16.563957;PL,PL;3002;czarnkowsko-trzcianecki
579;533;Intel Technology Poland sp. z o.o., Gdańsk;6390;662069;53090;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
580;553;Atlas sp. z o.o., Łódź;4673;661669;31047;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
581;593;Bioagra SA, Warszawa;2014;661297;45907;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
582;547;EY Polska, Warszawa;6920;659281;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
583;630;Inchcape Motor Polska sp. z o.o., Warszawa;4511;659258;11091;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
584;555;DP Metal Processing sp. z o.o., Tychy;2410;659123;27073;Tychy, PL;50.124731 18.986993;PL,PL;2477;m.Tychy
585;683;PW Alicja sp. z o.o., Dębno Polskie;4730;657558;1492;Dębno Polskie, PL;51.58506 16.88105;Polskie,;3022;rawicki
586;568;Graal SA, Wejherowo;4639;657068;40805;Wejherowo, PL;54.605079 18.247377;PL,PL;2215;wejherowski
587;;ADM Czernin SA, Elbląg;1041;656326;6583;Elbląg, PL;54.155871 19.404458;PL,PL;2861;m.Elbląg
588;520;Koleje Mazowieckie - KM sp. z o.o., Warszawa;4910;654505;1342;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
589;598;Hochland Polska sp. z o.o., Kaźmierz;1051;650992;22161;Kaźmierz, PL;52.512924 16.583147;PL,PL;3024;szamotulski
590;686;Veolia Energia Poznań SA, Poznań;3530;650613;149904;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
591;450;Mostostal Zabrze SA GK, Zabrze;4399;650363;-79947;Zabrze, PL;50.307027 18.785477;PL,PL;2478;m.Zabrze
592;577;Ekoland sp. z o.o., Tychy;1032;648874;30220;Tychy, PL;50.124731 18.986993;PL,PL;2477;m.Tychy
593;632;Investa sp. z o.o., Pruszcz Gdański;4690;647921;26531;Pruszcz Gdański, PL;54.260608 18.643225;Gdański,;2204;gdański
594;679;Pronar sp. z o.o., Narew;2830;647378;13371;Narew, PL;53.201427 22.407459;PL,PL;2014;zambrowski
595;813;Moris sp. z. o.o., Chorzów;4672;647359;28122;Chorzów, PL;50.297879 18.954447;PL,PL;2463;m.Chorzów
596;1206;Handen sp. z o.o., Warszawa;3523;646692;28467;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
597;559;Stock Polska sp. z o.o., Lublin;1101;644356;55920;Lublin, PL;51.231292 22.568964;PL,PL;0609;lubelski
598;569;Agros Nova Food sp. z o.o. sp.k., Warszawa;4639;644134;16349;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
599;623;Ferrero Polska sp. z o.o., Warszawa;1082;643400;56210;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
600;563;Grupa Oknoplast sp. z o.o., Ochmanów;2223;637967;b.d.;Ochmanów, PL;49.999115 20.133762;PL,PL;1206;krakowski
601;607;Consorfrut Polska sp. z o.o., Kraków;4631;635552;8559;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
602;567;PHU Agro-As sp.j., Grodków;4621;633741;5782;Grodków, PL;50.698157 17.38498;PL,PL;1601;brzeski(opolskie)
603;564;Integra sp. z o.o., Karczew;4623;633629;9457;Karczew, PL;52.07828 21.250807;PL,PL;1417;otwocki
604;713;Okręgowa Spółdzielnia Mleczarska, Sierpc;1051;633468;13649;Sierpc, PL;52.852906 19.667543;PL,PL;1437;żuromiński
605;624;Delko SA GK, Śrem;4645;630194;12324;Śrem, PL;51.642848 15.925554;PL,PL;0203;głogowski
606;474;Alti Plus SA, Kraków;4634;629059;6292;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
607;645;Manuli Hydraulics Polska SA, Mysłowice;2594;628904;33344;Mysłowice, PL;50.241472 19.141453;PL,PL;2470;m.Mysłowice
608;544;Redan SA GK, Łódź;4642;626786;-36171;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
609;641;PCC Exol SA GK, Brzeg Dolny;2014;625353;18218;Brzeg Dolny, PL;51.267123 16.722741;Dolny,;0222;wołowski
610;678;Pekabex Bet SA GK Poznań;2361;623334;25836;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
611;571;Szynaka-Meble sp. z o.o., Lubawa;3109;623118;9492;Lubawa, PL;53.505148 19.749406;PL,PL;2812;nowomiejski
612;570;PHP Agro Efekt sp. z o.o., Perzów;4675;622143;4228;Perzów, PL;51.27627 17.80996;PL,PL;3008;kępiński
613;706;Echo Investment SA GK, Kielce;4110;621862;312164;Kielce, PL;50.871788 20.630835;PL,PL;2604;kielecki
614;465;Euroservice ZPT w Surochowie sp. z o.o.;2059;621399;11296;Surochów, PL;50.019371 22.754672;PL,PL;1804;jarosławski
615;590;MPEC Kraków SA, Kraków;3530;621284;31007;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
617;566;Brown-Forman sp. z o.o., Warszawa;4634;618722;22682;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
618;526;Wawel SA, Kraków;1082;618456;113322;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
619;604;Mangata Holding SA, Bielsko-Biała;2814;617482;41078;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
620;560;Famot Pleszew sp. z o.o., Pleszew;2841;616452;87990;Pleszew, PL;51.895246 17.787817;PL,PL;3020;pleszewski
622;591;Danfoss Poland sp. z o.o., Grodzisk Mazowiecki;2651;615911;20608;Grodzisk Mazowiecki, PL;52.106622 20.631344;Mazowiecki,;1405;grodziski(mazowieckie)
623;621;Walcownia Metali Dziedzice SA, Czechowice-Dziedzice;2444;614503;15187;Czechowice-Dziedzice, PL;49.911215 19.007564;PL,PL;2403;cieszyński
625;1053;eobuwie.pl SA GK, Zielona Góra;4791;611654;57682;Zielona Góra, PL;51.938334 15.504995;Góra,;0809;zielonogórski
626;535;Osadkowski-Cebulski sp. z o.o., Legnica;4690;611127;9371;Legnica, PL;51.208209 16.160228;PL,PL;0209;legnicki
627;608;Autostrada Wielkopolska SA, Poznań;4211;611001;b.d.;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
628;518;Max Computers sp. z o.o., Wrocław;4690;608587;193;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
629;701;TME sp. z o.o. GK Łódź;4652;608269;62457;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
630;542;Multimedia Polska SA, Gdynia;6110;607488;-9418;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
631;1954;Petrax Trade SA, Warszawa;4671;605907;887;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
633;575;HUF Polska sp. z o.o., Tychy;2572;603588;69207;Tychy, PL;50.124731 18.986993;PL,PL;2477;m.Tychy
634;799;WZK Victoria SA, Wałbrzych;1910;603040;20332;Wałbrzych, PL;50.765905 16.282542;PL,PL;0219;świdnicki(śląskie)
635;755;Agro Rydzyna sp. z o.o., Rydzyna;1011;601195;15865;Rydzyna, PL;51.78637 16.667319;PL,PL;0204;górowski
636;525;Scanfil Poland sp. z o.o., Mysłowice;2611;596803;14936;Mysłowice, PL;50.241472 19.141453;PL,PL;2470;m.Mysłowice
637;456;Pfizer Trading Polska sp. z o.o., Warszawa;4646;595967;11820;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
638;510;Huta Pokój SA, Ruda Śląska;2410;595879;-36207;Ruda Śląska, PL;50.273242 18.859407;Śląska,;2478;m.Zabrze
640;1430;PKO Leasing SA, Łódź;6491;594520;11102;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
641;582;Incom Group SA, Wrocław;4651;594315;3093;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
643;;DHL Parcel Polska sp. z o.o., Warszawa;4941;593670;11143;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
644;614;Prime Car Management SA GK, Gdańsk;6491;593395;35766;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
645;698;OTCF SA, Wieliczka;1392;592064;61544;Wieliczka, PL;49.982377 20.060211;PL,PL;1206;krakowski
646;667;Paroc Polska sp. z o.o., Trzemeszno;2399;589159;49011;Trzemeszno, PL;52.560067 17.820894;PL,PL;3003;gnieźnieński
647;634;Phoenix Contact Wielkopolska, Nowy Tomyśl;2712;588671;43161;Nowy Tomyśl, PL;52.317764 16.129155;Tomyśl,;3015;nowotomyski
648;794;Trasko-Inwest sp. z o.o. GK, Ostrzeszów;4120;587817;16522;Ostrzeszów, PL;51.425766 17.933179;PL,PL;3017;ostrowski(wielkopolskie)
649;638;Auto Lellek Group sp. z o.o. sp.k., Opole;4511;587441;24951;Opole, PL;50.666818 17.923641;PL,PL;1661;m.Opole
650;537;Zakłady Mięsne Łuków SA, Łuków;1011;587007;-14183;Łuków, PL;51.926392 22.38508;PL,PL;0615;radzyński
651;581;Medicare-Galenica sp. z o.o., Mysłowice;4646;586622;314;Mysłowice, PL;50.241472 19.141453;PL,PL;2470;m.Mysłowice
652;613;Coveris Rigid Polska sp. z o.o., Siemianowice Śląskie;2222;586162;30180;Siemianowice Śląskie, PL;50.305203 19.027564;Śląskie,;2401;będziński
653;1903;Eberspächer Climate Control Systems, Godzikowice;2932;585792;31719;Godzikowice, PL;50.910026 17.311482;PL,PL;1601;brzeski(opolskie)
654;659;3W Dystrybucja Budowlana SA GK, Ruda Śląska;4211;584551;8696;Ruda Śląska, PL;50.273242 18.859407;Śląska,;2478;m.Zabrze
655;786;Okręgowa Spółdzielnia Mleczarska, Giżycko;1051;583739;49973;Giżycko, PL;54.040026 21.771557;PL,PL;2806;giżycki
656;702;Zakłady Remontowe Energetyki SA, Katowice;3311;583242;2978;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
657;757;UTC Aerospace Systems sp. z o.o., Wrocław;3030;580074;17858;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
