wteryt;teryt;powiat;y2012;y2017;tz2017;region
12;1216;tarnowski;5;8;5714;s
16;1607;nyski;9;15;5754;sw
28;2809;lidzbarski;3;5;5761;n
18;1811;mielecki;9;7;5870;e
02;0223;wrocławski;8;12;5912;sw
02;0221;wałbrzyski;14;10;6262;sw
24;2465;m.Dąbrowa Górnicza;5;5;6355;s
18;1804;jarosławski;9;11;6499;e
14;1430;szydłowiecki;2;4;6587;m
02;0214;oleśnicki;7;7;6633;sw
20;2005;hajnowski;5;5;6676;e
14;1402;ciechanowski;5;8;6692;m
30;3030;wrzesiński;7;8;6815;nw
02;0215;oławski;5;6;7215;sw
12;1208;miechowski;2;4;7242;s
22;2211;pucki;28;32;7286;n
06;0664;m.Zamość;11;13;7341;e
30;3019;pilski;14;11;7368;nw
14;1414;nowodworski;7;11;7453;m
06;0661;m.Biała Podlaska;7;8;7576;e
32;3211;policki;7;6;7622;nw
14;1434;wołomiński;12;15;7694;m
06;0601;bialski;9;11;7714;e
08;0810;żagański;6;4;7924;nw
30;3015;nowotomyski;9;10;8026;nw
14;1413;mławski;3;3;8046;m
10;1020;zgierski;18;17;8243;c
22;2208;lęborski;9;9;8321;n
14;1435;wyszkowski;3;4;8326;m
12;1263;m.Tarnów;8;8;8370;s
02;0202;dzierżoniowski;6;13;8487;sw
24;2402;bielski;16;21;8552;s
06;0609;lubelski;11;15;8553;e
20;2062;m.Łomża;2;3;8589;e
22;2212;słupski;14;14;8659;n
14;1428;sochaczewski;3;3;8868;m
08;0803;międzyrzecki;13;13;8948;nw
10;1006;łódzki wschodni;11;7;9084;c
02;0226;złotoryjski;1;1;9251;sw
18;1821;leski;14;15;9578;e
22;2204;gdański;14;15;9632;n
12;1211;nowotarski;36;49;9828;s
28;2815;ostródzki;16;18;9838;n
10;1010;piotrkowski;8;9;9886;c
14;1463;m.Radom;13;14;10058;m
14;1464;m.Siedlce;3;8;10218;m
20;2002;białostocki;12;16;10475;e
22;2209;malborski;7;8;10487;n
24;2463;m.Chorzów;5;7;11125;s
22;2215;wejherowski;14;15;12094;n
14;1417;otwocki;4;10;12238;m
20;2001;augustowski;9;10;12267;e
02;0201;bolesławiecki;7;9;12543;sw
14;1405;grodziski;5;8;12666;m
18;1862;m.Przemyśl;9;10;12794;e
32;3213;sławieński;6;8;12928;nw
08;0862;m.Zielona Góra;16;16;12978;nw
24;2413;tarnogórski;11;11;13017;s
18;1816;rzeszowski;17;21;13460;e
02;0219;świdnicki;12;12;13477;sw
02;0265;m.Wałbrzych od 2013;;7;14112;sw
08;0861;m.Gorzów Wielkopolski;10;11;14649;nw
32;3209;koszaliński;12;15;14838;nw
26;2661;m.Kielce;25;27;16522;c
24;2477;m.Tychy;10;10;16794;s
08;0807;sulęciński;10;11;17656;nw
24;2478;m.Zabrze;7;10;18272;s
14;1408;legionowski;7;12;18333;m
14;1418;piaseczyński;14;11;19112;m
28;2861;m.Elbląg;11;11;19606;n
30;3021;poznański;48;50;20034;nw
12;1210;nowosądecki;37;49;20521;s
14;1432;warszawski zachodni;10;11;20755;m
02;0208;kłodzki;57;72;21198;sw
28;2862;m.Olsztyn;16;16;22155;n
20;2063;m.Suwałki;3;7;22170;e
16;1661;m.Opole;12;17;22676;sw
22;2262;m.Gdynia;14;13;22717;n
02;0210;lubański;24;26;22797;sw
24;2401;będziński;10;11;22952;s
12;1219;wielicki;19;21;23539;s
14;1421;pruszkowski;11;15;23572;m
12;1213;oświęcimski;7;9;24062;s
24;2461;m.Bielsko-Biała;10;18;24275;s
28;2806;giżycki;13;19;24787;n
02;0261;m.Jelenia Góra;17;16;25050;sw
32;3205;gryficki;14;13;28313;nw
02;0262;m.Legnica;7;9;28768;sw
24;2403;cieszyński;47;48;29735;s
24;2466;m.Gliwice;13;15;30487;s
02;0225;zgorzelecki;5;9;31367;sw
02;0206;jeleniogórski;106;103;33964;sw
24;2464;m.Częstochowa;9;11;34724;s
04;0461;m.Bydgoszcz;20;30;38740;n
08;0805;słubicki;16;21;43907;nw
08;0808;świebodziński;12;16;46485;nw
12;1206;krakowski;15;18;48556;s
04;0463;m.Toruń;30;33;51886;n
28;2810;mrągowski;31;28;56103;n
22;2264;m.Sopot;22;27;65666;n
06;0663;m.Lublin;21;37;71794;e
18;1863;m.Rzeszów;30;36;79541;e
32;3207;kamieński;17;19;82162;nw
20;2061;m.Białystok;18;22;86064;e
24;2469;m.Katowice;19;20;92426;s
12;1217;tatrzański;67;85;95872;s
10;1061;m.Łódź;43;46;120579;c
32;3262;m.Szczecin;30;32;139591;nw
32;3263;m.Świnoujście;25;28;195977;nw
32;3208;kołobrzeski;26;29;196740;nw
30;3064;m.Poznań;60;73;206146;nw
02;0264;m.Wrocław;53;56;383351;sw
22;2261;m.Gdańsk;61;73;388577;n
12;1261;m.Kraków;158;183;1187992;s
14;1465;m. st. Warszawa;86;111;1339796;m
