teryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF
2210;nowodworski(pomorskie);0;0;0;7;14;0;0;161.75
2211;pucki;0;0;0;28;32;0;0;207.47
2212;słupski;0;0;0;14;14;0;0;191.76
2213;starogardzki;4;3674207;24124;4;4;1;43;178.25
2214;tczewski;8;5495078;101090;11;12;0;0;191.18
2215;wejherowski;9;4029667;143621;14;15;1;54;213.28
2216;sztumski;0;0;0;0;0;0;0;130.75
2261;m.Gdańsk;40;63167759;4035630;61;73;13;21187;381.73
2262;m.Gdynia;0;0;0;14;13;5;3099;380.09
2263;m.Słupsk;6;1426247;17638;7;9;2;924;252.18
2264;m.Sopot;5;1537269;216887;22;27;2;356;515.12
2401;będziński;19;30807569;979951;10;11;0;0;283.52
2402;bielski(śląskie);5;5507262;272275;16;21;0;0;284.96
2403;cieszyński;14;7138679;242712;47;48;0;178;235.14
2404;częstochowski;0;0;0;4;4;0;0;188.87
2405;gliwicki;16;13306606;488315;7;6;0;0;261.79
2406;kłobucki;15;9746864;179662;1;1;0;0;200.19
2407;lubliniecki;0;0;0;6;6;0;0;190.89
2408;mikołowski;3;1151146;36395;6;5;0;0;325.67
2409;myszkowski;1;431411;36474;4;7;0;0;209.17
2410;pszczyński;8;4015132;178835;9;11;0;0;280.92
2411;raciborski;5;3872131;152207;5;10;1;381;191.32
2412;rybnicki;0;0;0;1;1;0;0;243.04
2413;tarnogórski;5;1836149;115506;11;11;0;52;276.14
2414;tyski;3;7510935;37673;1;3;0;0;305.65
2415;wodzisławski;1;260250;1907;5;6;0;35;249.13
2416;zawierciański;7;6264918;50841;8;12;0;0;220.48
2417;żywiecki;6;6551317;679336;14;21;1;104;201.05
2461;m.Bielsko-Biała;31;31146171;1631124;10;18;7;2351;345.43
2462;m.Bytom;2;1439867;76383;4;5;0;23;217.53
2463;m.Chorzów;10;4737577;-9743;5;7;1;1703;267.79
2464;m.Częstochowa;0;0;0;9;11;6;5065;273.16
2465;m.DąbrowaGórnicza;0;0;0;5;5;2;1626;297.48
2466;m.Gliwice;0;0;0;13;15;2;7963;345.67
2467;m.Jastrzębie-Zdrój;2;9300892;2585089;3;5;0;0;271.28
2468;m.Jaworzno;0;0;0;4;5;0;0;297.7
2469;m.Katowice;40;55242230;2354181;19;20;11;17567;395.83
2470;m.Mysłowice;6;2446228;191381;0;0;0;79;307.71
2471;m.PiekaryŚląskie;0;0;0;4;6;0;0;256.33
2472;m.RudaŚląska;0;0;0;2;3;1;16;270.05
2473;m.Rybnik;0;0;0;8;6;0;0;275.82
2474;m.SiemianowiceŚląskie;0;0;0;2;2;0;0;266.55
2475;m.Sosnowiec;0;0;0;3;7;3;801;280.16
2476;m.Świętochłowice;0;0;0;1;1;0;0;218.23
2477;m.Tychy;16;13188876;591003;10;10;0;64;341.05
2478;m.Zabrze;10;6658132;-59537;7;10;0;0;243.66
2479;m.Żory;0;0;0;3;5;0;97;263.19
2601;buski;2;541180;5179;10;16;0;0;153.87
2602;jędrzejowski;4;2508251;200283;2;4;0;0;137.03
2603;kazimierski;1;557933;7327;1;3;0;0;90.39
2604;kielecki;11;6399144;709740;21;36;0;0;158.38
2605;konecki;4;856533;27877;9;9;0;0;142.09
2606;opatowski;1;468782;0;1;4;0;0;122.15
2607;ostrowiecki;0;0;0;9;9;1;524;175.18
2608;pińczowski;3;3021060;46262;1;2;1;57;139.31
2609;sandomierski;1;1894226;49830;11;11;2;86;150.55
2610;skarżyski;2;3780212;33825;5;8;0;0;185.26
2611;starachowicki;2;717488;22532;3;3;0;0;176.88
2612;staszowski;1;234403;-30042;4;5;0;0;156.74
2613;włoszczowski;1;164909;-267;4;3;0;0;138.04
2661;m.Kielce;0;0;0;25;27;8;7975;295.57
2801;bartoszycki;0;0;0;5;5;0;32;148.93
2802;braniewski;0;0;0;5;5;0;0;154.05
2803;działdowski;2;360400;24135;6;7;0;0;157.05
2804;elbląski;3;744564;5830;5;4;0;0;140.8
2805;ełcki;2;859867;20900;8;7;0;131;155.19
2806;giżycki;1;583739;49973;13;19;0;0;175.72
2807;iławski;0;0;0;10;14;0;89;173.55
2808;kętrzyński;0;0;0;7;4;0;0;147.12
2809;lidzbarski;0;0;0;3;5;0;0;147.19
2810;mrągowski;0;0;0;31;28;0;0;165.96
2811;nidzicki;0;0;0;3;2;0;0;126.02
2812;nowomiejski;3;1169843;30280;3;2;0;0;127.49
2813;olecki;1;324972;773;2;3;0;0;138.18
2814;olsztyński;0;0;0;10;12;0;0;202.06
2815;ostródzki;4;1294403;60635;16;18;0;0;164.42
2816;piski;1;236193;5349;10;10;0;0;132.32
2817;szczycieński;0;0;0;6;8;1;1103;153.32
2818;gołdapski;3;670451;23896;5;5;0;0;126.07
2819;węgorzewski;0;0;0;2;4;0;0;141.92
2861;m.Elbląg;2;830831;10104;11;11;2;856;252.07
2862;m.Olsztyn;11;12393096;491841;16;16;4;7364;305.66
3001;chodzieski;2;341298;6538;12;10;0;0;195.06
3002;czarnkowsko-trzcianecki;1;664786;25287;8;7;0;16;175.42
3003;gnieźnieński;11;54951093;1850434;21;14;2;385;201.37
3004;gostyński;5;1809860;110952;6;4;0;0;236.41
3005;grodziski(wielkopolskie);6;1961062;-46727;5;5;0;0;194.51
3006;jarociński;2;552465;10796;6;6;0;0;187.22
3007;kaliski;0;0;0;5;9;0;0;163.4
3008;kępiński;3;1319646;-16437;3;4;0;0;277.75
3009;kolski;0;0;0;5;6;0;0;168.08
3010;koniński;0;0;0;14;15;0;0;159.29
3011;kościański;3;850744;32066;6;5;0;0;205.32
3012;krotoszyński;3;6588329;410695;6;6;0;0;192.61
3013;leszczyński;0;0;0;13;13;0;0;176.03
3014;międzychodzki;1;495341;651;4;4;0;0;184.54
3015;nowotomyski;6;2754479;229345;9;10;0;85;223.41
3016;obornicki;5;2871187;29142;3;3;0;0;192.75
